Source Title (Medline-sourced journals are indicated in Green),Print-ISSN,E-ISSN,Publisher imprints grouped to main Publisher
Acta Medica Iugoslavica,03758338,,Croatian Academy of Medical Sciences
Acta Medica Mediterranea,03936384,,Carbone Editore
Acta Medica Nagasakiensia,00016055,,Nagasaki Daigaku
Acta Medica Okayama,0386300X,,Okayama Daigaku
Acta medica Orientalia,03654540 ,,Israel Medical Association
Acta Medica Philippina,00016071 ,,University of the Philippines at Manila
Acta Medica Portuguesa,0870399X,,Ordem dos Medicos
Acta Medica Romana,00016098,,Vita e Pensiero
Acta Medica Saliniana,0350364X ,18403956 ,Univerzitet u Tuzli
Acta Medica Scandinavica,00016101,,Almgvist & Wiksells
"Acta Medica Scandinavica, Supplement",0365463X,,Almgvist & Wiksells
Acta medicinae Okayama,00016152,,Okayama University
Acta Metallurgica,00016160,,University of Toronto Press
Acta Metallurgica et Materialia,09567151,,Elsevier
Acta Metallurgica Sinica (English Letters),10067191,,Science Press
"Acta Metallurgica Sinica Series A, Physical Metallurgy & Materials Science",10009442,,Editorial Board of Acta Metallurgica Sinica
"Acta Metallurgica Sinica Series B, Process Metallurgy & Miscellaneous",10009450,,Editorial Board of Acta Metallurgica Sinica
Acta Metallurgica Slovaca,13351532 ,,Technicka Univerzita Kosice
Acta Meteorologica Sinica,08940525,,China Meteorological Press
Acta Microbiologica Academiae Scientiarum Hungaricae,00016187,,Akademiai Kiado
Acta Microbiologica et Immunologica,12178950,15882640,Akademiai Kiado
Acta Microbiologica Hellenica,04389573,,Greek Society Of Microbiology
Acta Microbiologica Hungarica,02314622,,Akademiai Kiado
Acta Microbiologica Polonica,01371320,,Polish Society of Microbiologists
Acta microbiologica Polonica. Series A: Microbiologia generalis,05677815,,Panstwowe Wydawnictwo Naukowe
Acta microbiologica Polonica. Series B: Microbiologia applicata,05677823,,Polskie Towarzystwo Mikrobiologow/Polish Society of Microbiologists
Acta Microscopica,07984545 ,,Committee of Societies for Electron Microscopy (CIASEM)
Acta Montanistica Slovaca,13351788,,Acta Montanistica Slovaca
Acta Morphologica Academiae Scientiarum Hungaricae,00016217,,Akademiai Kiado
Acta Morphologica Hungarica,02365391,,Akademiai Kiado
Acta Morphologica Neerlando-Scandinavica,00016225,,Swets & Zeitlinger
Acta Mozartiana,00016233 ,,Deutsche Mozart-Gesellschaft e.V.
"Acta Musei Nationalis Pragae, Series B - Historia Naturalis",00365343 ,18046479 ,Narodni Muzeum
Acta Musicologica,00016241 ,,Baerenreiter Verlag
Acta Myologica,11282460,,Mediterranean Society of Mythology
Acta Naturae,20758251 ,,Park Media Ltd.
Acta Naturalia de l'Ateneo Parmense,0392419X,,Medicina e Scienze Naturali di Parma
Acta Neerlandica morphologiae normalis et pathologicae,03654907 ,,Swets & Zeitlinger
Acta Neonatologica Japonica,00290386,,Nihon Shinseiji Gakkai/Japan Society of Neonatology
Acta Neurobiologiae Experimentalis,00651400,,Polska Akademia Nauk
Acta Neurochirurgica,00016268,09420940,Springer
"Acta Neurochirurgica, Supplement",00651419,,Springer
Acta Neurologica Belgica,03009009,,Acta Medica Belgica
Acta neurologica et psychiatrica Belgica,00016284,,Societe De Medecine Mentale De Belgique
Acta Neurologica Scandinavica,00016314,16000404,Wiley-Blackwell
"Acta Neurologica Scandinavica, Supplement",00651427,,Wiley-Blackwell
Acta Neurologica Taiwanica,1028768X,,Taiwan Neurological Society
Acta Neuropathologica,00016322,14320533,Springer
Acta Neuropsychiatrica,09242708,16015215,Wiley-Blackwell
Acta Neuropsychologica,17307503,,MedSport Press
Acta neurovegetativa,03759245,,Springer
Acta Numerica,09624929,,Cambridge University Press
Acta Obstetrica et Gynaecologica Japonica,00016330,,Japanese Obstetrical and Gynecological Society
Acta Obstetrica y Ginecologica Hispano-Lusitana,02109832,,Esmon
Acta Obstetricia et Gynecologica Scandinavica,00016349,16000412,Wiley-Blackwell
"Acta Obstetricia et Gynecologica Scandinavica, Supplement",03008835,,Wiley-Blackwell
Acta Oceanologica Sinica,0253505X,,Chinese Ocean Press
Acta odontologica latinoamericana : AOL,03264815,,Acta Odontologica Latinoamericana
Acta Odontologica Scandinavica,00016357,15023850,Taylor & Francis
Acta Oecologica,1146609X,,Elsevier
"Acta Oecologica, Oecologia Plantarum",02437651,,Elsevier
Acta Oecologica/Oecologia Applicata,02437678,,Elsevier
Acta Oecologica/Oecologia Generalis,0243766X,,Elsevier
Acta Oeconomica,00016373,15882659,Akademiai Kiado
Acta of Bioengineering and Biomechanics,1509409X,,Oficyna Wydawnicza
Acta Oncologica,0284186X,1651226X,Taylor & Francis
"Acta Oncologica, Supplement",11001704,,Taylor & Francis
Acta Onomastica,12114413 ,,Czech Language Institute of the Academy of Sciences of the Czech Republic
Acta Ophthalmologica,1755375X,17553768,Wiley-Blackwell
Acta Ophthalmologica,0001639X,,Copenhagen Scriptor
Acta Ophthalmologica Scandinavica,13953907,16000420,Wiley-Blackwell
"Acta Ophthalmologica Scandinavica, Supplement",13953931,,Wiley-Blackwell
Acta Ophthalmologica. Supplement,00651451,,S.S.Y.B.
Acta Orientalia,00016446 ,15882667 ,Akademiai Kiado
Acta Ornithologica,00016454,,Polska Akademia Nauk
Acta Orthopaedica,17453674,17453682,Taylor & Francis
Acta Orthopaedica Belgica,00016462,,Acta Medica Belgica
Acta Orthopaedica et Traumatologica Turcica,1017995X,,Turk Ortopedi ve Travmatoloji Dernegi
Acta Orthopaedica Iugoslavica,03502309,,Yugoslav Orthopaedic Association
Acta Orthopaedica Scandinavica,00016470,16511964,Taylor & Francis
"Acta Orthopaedica Scandinavica, Supplement",03008827,,Taylor & Francis
Acta orthopaedica. Supplementum,17453690,17453704,Taylor & Francis
Acta Ortopedica Brasileira,14137852,,Redprint Editora Ltda.
Acta ortopédica mexicana,,,Sociedad Mexicana de Ortopedia
Acta Oto-Laryngologica,00016489,,Taylor & Francis
"Acta Oto-Laryngologica, Supplement",03655237,,Taylor & Francis
Acta Oto-Rhino-Laryngologica Belgica,00016497,,Acta Medica Belgica
Acta Otorhinolaryngologica Italica,0392100X,,Pacini Editore SpA
Acta oto-rino-laringologica ibero-americana,00016500,,Anales Otorrinolaringologicos Ibero-Americanos
Acta Otorrinolaringologica Espanola,00016519,,Elsevier
Acta Paediatrica Academiae Scientiarum Hungaricae,00016527,,Akademiai Kiado
Acta Paediatrica Belgica,00016535,,Acta Medica Belgica
Acta Paediatrica Hungarica,0231441X,,Akademiai Kiado
Acta Paediatrica Japonica,03745600,,Wiley-Blackwell
Acta Paediatrica Scandinavica,0001656X,,Taylor & Francis
"Acta Paediatrica Scandinavica, Supplement",03008843,,Taylor & Francis
Acta Paediatrica Sinica,00016578,,Taiwan Pediatric Association
Acta Paediatrica Taiwanica,16088115,,Taiwan Pediatric Association
"Acta Paediatrica, International Journal of Paediatrics",08035253,16512227,Taylor & Francis
"Acta Paediatrica, International Journal of Paediatrics, Supplement",08035326,,Taylor & Francis
Acta paediatrica. Supplementum,,,Almgvist & Wiksells
Acta Paedopsychiatrica,00016586 ,,Schwabe and Co. AG
Acta Palaeobotanica,00016594,,Polska Akademia Nauk
Acta Palaeontologica Polonica,05677920,,Polska Akademia Nauk
Acta Parasitologica,12302821,,Polska Akademia Nauk
Acta Parasitologica Polonica,00651478,,Polska Akademia Nauk
Acta pathologica et microbiologica Scandinavica,03655555,16000463,Wiley-Blackwell
Acta Pathologica et Microbiologica Scandinavica - Section A Pathology,03654184,,Wiley-Blackwell
Acta Pathologica et Microbiologica Scandinavica - Section B Microbiology and Immunology,03655563,,Wiley-Blackwell
Acta Pathologica et Microbiologica Scandinavica - Section C Immunology,03041328,,Wiley-Blackwell
Acta Pathologica Japonica,00016632,,Japanese Pathological Society
Acta Pathologica Microbiologica et Immunologica Scandinavica - Section A Pathology,01080164,,Wiley-Blackwell
Acta Pathologica Microbiologica et Immunologica Scandinavica - Section B Microbiology,01080180,,Wiley-Blackwell
Acta Pathologica Microbiologica et Immunologica Scandinavica - Section C Immunology,01080202,,Wiley-Blackwell
Acta Pathologica Microbiologica et Immunologica Scandinavica - Supplementum,0903465X,16005503,Wiley-Blackwell
Acta Paulista de Enfermagem,01032100,,"Escola Paulista de Enfermagem, Universidade Federal de Sao Paulo"
Acta Pediatrica Espanola,00016640,,Ediciones Mayo S.A.
Acta Periodica Technologica,14507188,,Univerzitet u Novom Sadu
Acta Petrologica Sinica,10000569,,"Chinese Academy Of Sciences, Institute of Geology and Geophysics"
Acta Pharmaceutica,13300075,,Hrvatsko Farmaceutsko Drustvo/Croatian Pharmaceutical Society
Acta Pharmaceutica Fennica,03563456,,Suomen farmaseuttinen yhdistys
Acta Pharmaceutica Hungarica,00016659,,Magyar Gyogyszereszeti Tarsasag/Hungarian Pharmaceutical Association
Acta Pharmaceutica Jugoslavica,00016667,,Hrvatsko Farmaceutsko Drustvo/Croatian Pharmaceutical Society
Acta Pharmaceutica Nordica,11001801,,Elsevier
Acta Pharmaceutica Sciencia,13072080,,Anadolu University
Acta Pharmaceutica Suecica,00016675,,Rune Westerling
Acta Pharmaceutica Technologica,03403157,,Elsevier
Acta Pharmaceutica Turcica,10100849,,"Fen Fakultesi, Istanbul Universitesi"
Acta Pharmaceutica Turcica,1300638X,,ETAM A.S. Matbaa Tesisleri
Acta Pharmacologica et Toxicologica,00016683,,Wiley-Blackwell
Acta Pharmacologica Sinica,16714083,17457254,Shanghai Institute of Materia Medica
Acta Philosophica,11212179 ,18256562 ,Fabrizio Serra Editore
Acta Phlebologica,1593232X ,18271766 ,Edizioni Minerva Medica S.p.A.
Acta Physica Academiae Scientiarum Hungaricae,00016705 ,,Akademiai Kiado
Acta Physica Hungarica,02314428 ,,Akademiai Kiado
"Acta Physica Hungarica, Series A: Heavy Ion Physics",12197580,15882675,Akademiai Kiado
"Acta Physica Hungarica, Series B: Quantum Electronics",15899535,,Akademiai Kiado
Acta Physica Polonica A,05874246,,Polska Akademia Nauk
"Acta Physica Polonica B, Proceedings Supplement",18992358,,Jagellonian University
"Acta Physica Polonica, Series B.",05874254,,Jagellonian University
Acta Physica Sinica (overseas Edition),1004423X,,Taylor & Francis
Acta Physica Slovaca,03230465,,Slovenska Akademia Vied
Acta Physico - Chimica Sinica,10006818,,Beijing University Press
Acta Physiologiae Plantarum,01375881,,Agencja Wydawnicza ARIES
Acta Physiologica,17481708,17481716,Wiley-Blackwell
Acta Physiologica Academiae Scientiarum Hungaricae,00016756,,Akademiai Kiado
Acta Physiologica et Pharmacologica Bulgarica,03239950,,Universitetsko Izdatelstvo Sv. Kliment Okhridski/Publishing House of the Sofia University St. Kilment Ohridski
Acta Physiologica et Pharmacologica Latinoamericana,03266656,,Las Asociaciones
Acta physiologica et pharmacologica Neerlandica,00016748,,Elsevier
Acta Physiologica Hungarica,0231424X,15882683,Akademiai Kiado
Acta Physiologica Latino-Americana,00016764,,Asociacion Latinoamericana de Ciencias Fisiologicas
Acta Physiologica Pharmacologica et Therapeutica Latinoamericana,03276309,,Association Latinoamericana de Ciencias Fisiologicas
Acta Physiologica Polonica,00446033,,Panstwowy Zaklad Wydawnictw Lekarskich
Acta Physiologica Scandinavica,00016772,1365201X,Wiley-Blackwell
"Acta Physiologica Scandinavica, Supplement",03022994,,Wiley-Blackwell
Acta Physiologica Sinica,03710874,,Science Press
Acta physiotherapica et rheumatologica Belgica,07702728 ,,Acta Medica Belgica
Acta Phytogeographica Suecica,00845914,,Opulus Press AB
Acta Phytopathologica et Entomologica Hungarica,02381249,15882691,Akademiai Kiado
Acta Phytotaxonomica Sinica,05291526,,Science Press
Acta Politica,00016810,,Macmillan
Acta Poloniae Historica,00016829 ,,Zaklad Narodowy imienia Ossolinskich
Acta Poloniae Pharmaceutica,00016837,,Polskie Towarzystwo Farmaceutyczne/Polish Pharmaceutical Society
Acta Poloniae Toxicologica,12306967,,Polskie Towarzystwo Toksykologiczne/Polish Society of Toxicology
Acta Polymerica,03237648,,Wiley-Blackwell
Acta Polymerica Sinica,10003304,,Science Press
Acta Polytechnica,12102709 ,18052363,"Czech Technical University, Publishing House"
Acta Polytechnica Hungarica,17858860 ,,Obuda University
Acta Polytechnica Scandinavica Mathematics and Computing Series,14569418,,Finnish Academies of Technology
"Acta Polytechnica Scandinavica, Applied Physics Series",03552721,,Finnish Academies of Technology
"Acta Polytechnica Scandinavica, Chemical Technology and Metallurgy Series",07812698,,Finnish Academies of Technology
"Acta Polytechnica Scandinavica, Chemical Technology Series",12390518,,Finnish Academies of Technology
"Acta Polytechnica Scandinavica, Chemistry Including Metallurgy Series",00016853,,Finnish Academies of Technology
"Acta Polytechnica Scandinavica, Civil Engineering and Building Construction Series",03552705,,Finnish Academy of Technical Sciences
"Acta Polytechnica Scandinavica, Electrical Engineering Series",00016845,,Finnish Academies of Technology
"Acta Polytechnica Scandinavica, Mechanical Engineering Series",0001687X,,Finnish Academies of Technology
Acta Protozoologica,00651583,16890027,Polska Akademia Nauk
Acta Psiquiatrica y Psicologica de America Latina,00016896,,Fundacion Acta Fondo para la Salud Mental
Acta Psychiatrica Belgica,03008967,,Acta Medica Belgica
Acta psychiatrica et neurologica,0365558X ,,Wiley-Blackwell
Acta psychiatrica et neurologica Scandinavica,03655598,,Wiley-Blackwell
Acta psychiatrica et neurologica Scandinavica. Supplementum,03655067 ,,Ejnar Munksgaard
Acta psychiatrica et neurologica. Supplementum,01050028 ,,Levin et  Munksgaard
Acta Psychiatrica Scandinavica,0001690X,16000447,Wiley-Blackwell
"Acta Psychiatrica Scandinavica, Supplement",00651591,16005473,Wiley-Blackwell
Acta Psychologica,00016918,,Elsevier
Acta psychotherapeutica et psychosomatica,03655822 ,,Karger
Acta Radiologica,02841851,16000455,Taylor & Francis
Acta Radiologica - Series Diagnosis,05678056,,Radiological Societies of Denmark Finland Norway and Sweden
"Acta Radiologica - Series Therapy, Physics and Biology",05678064,,Radiological Societies of Denmark Finland Norway and Sweden
Acta radiologica et cancerologica. Bohemoslovencia,,,Ceska Lekarska Spolecnost J.E. Purkyne
Acta Radiologica Oncology,0349652X,,"Societies Of Medical Radiology In Denmark, Finland, Norway And Sweden"
"Acta Radiologica, Supplement",03655954,,Wiley-Blackwell
Acta Radiologica. Oncology Radiation Therapy Physics and Biology,03485196,,Acta Radiologica
Acta Reumatologica Portuguesa,0303464X,,Sociedade Portuguesa de Reumatologia
Acta rheumatologica Scandinavica,00016934,,Steinviks Bokforlag
Acta rheumatologica Scandinavica. Supplementum,0065163X ,,Steinviks Bokforlag
Acta Rhumatologica,02504642,,Acta Medica Belgica
Acta rhumatologica Belgica,03789497,,Acta Medica Belgica
Acta scientia Sinica = Chung-kuo k'o hsüeh,03657183 ,,Chung-kuo ko Hsueh Yuan
Acta Scientiae Veterinariae,16780345 ,16799216 ,Universidade Federal do Rio Grande do Sul
Acta Scientiarum - Agronomy,16799275 ,,Universidade Estadual de Maringa
Acta Scientiarum - Animal Sciences,18062636 ,,Universidade Estadual de Maringa
Acta Scientiarum - Biological and Health Sciences,14156814,,Universidade Estadual de Maringa
Acta Scientiarum - Biological Sciences,16799283,,Universidade Estadual de Maringa
Acta Scientiarum - Health Sciences,16799291,,Universidade Estadual de Maringa
Acta Scientiarum - Technology,18062563 ,18078664 ,Universidade Estadual de Maringa
Acta Scientiarum Language and Culture,19834675 ,19834683 ,Universidade Estadual de Maringa
Acta Scientiarum Mathematicarum,00016969,,Bolyaianum Universitatis
Acta Scientiarum Naturalium - Academiae Scientiarum Bohemoslovacae Brno,00328758,,Academy of Sciences of the Czech Republic
Acta Scientiarum Naturalium Universitatis Normalis Hunanensis,10002537,,Hunan Shifan Daxue/Hunan Normal University
"Acta Scientiarum Polonorum, Hortorum Cultus",16440692 ,,Wydawnictwo Akademii Rolniczej
"Acta Scientiarum Polonorum, Technologia Alimentaria",16440730 ,,Wydawnictwo Akademii Rolniczej w Poznaniu
